field,1985,1990,1995,2000,2005,2010,2015
total,31295,36064,41576,41296,43319,48015,54999
total_m,20552,22960,25160,23165,23737,25526,29596
total_f,10743,13104,16416,18131,19582,22489,25403
lifesci,5822,6655,7956,8611,9296,11314,12519
lifesci_m,3946,4163,4598,4568,4561,5101,5578
lifesci_f,1876,2492,3358,4043,4735,6213,6941
physci,3491,4212,4519,4063,4357,4994,5923
physci_m,2922,3421,3499,3041,3141,3379,3935
physci_f,569,791,1020,1022,1216,1615,1988
math,998,1597,2178,1907,2329,3223,3823
math_m,859,1329,1727,1507,1782,2409,2880
math_f,139,268,451,400,547,814,943
psych,6027,6331,6906,7443,7144,7882,9094
psych_m,3517,3378,3380,3370,3159,3358,3762
psych_f,2510,2953,3526,4073,3985,4524,5332
engineer,3166,4894,5966,5297,6408,7575,9897
engineer_m,2968,4479,5270,4459,5226,5829,7596
engineer_f,198,415,696,838,1182,1746,2301
ed,6733,6509,6638,6439,6217,5286,5116
ed_m,3242,2758,2546,2260,2065,1662,1614
ed_f,3491,3751,4092,4179,4152,3624,3502
humart,3406,3854,5034,5458,5181,5015,5599
humart_m,2014,2188,2695,2786,2600,2462,2767
humart_f,1392,1666,2339,2672,2581,2553,2832
other,1652,2012,2379,2078,2387,2726,3028
other_m,1084,1244,1445,1174,1203,1326,1464
other_f,568,768,934,904,1184,1400,1564